slug,title,category,date,lang,draft,published,shown_on_blog
2026-w14-april-preview,"4월의 시작, 황사 대응과 건강 테마 마케팅",weekly,2026-03-30,ko,false,true,false
2026-w14-weekly,4월 1주차: 벚꽃 피크 & 신학기 안정,weekly,2026-03-30,ko,false,true,false
summer-food-safety,여름 식품 안전 관리: 점주가 꼭 알아야 할 것,guide,2026-03-28,ko,true,false,false
2026-w13-storeletter-vol1,스토어레터 Vol.1 — 3월 4주차,weekly,2026-03-25,ko,false,true,false
repeat-customer-value,단골 고객의 가치: 재방문율과 매출 데이터,insight,2026-03-25,ko,false,true,true
2026-w13-late-march,3월 4주차 벚꽃 개화 & 야외 수요 폭발 대비,weekly,2026-03-23,ko,false,true,false
2026-w13-weekly,3월 4주차: 봄비와 꽃샘추위 대응,weekly,2026-03-23,ko,false,true,false
sns-marketing-basics,편의점 SNS 마케팅: 인스타그램으로 단골 만들기,guide,2026-03-22,ko,true,false,false
monsoon-to-autumn,장마 끝 → 가을 시작: 8월 말 전환기,guide,2026-03-20,ko,true,false,false
promotion-roi-analysis,프로모션 ROI 분석: 1+1이 정말 이득일까?,insight,2026-03-18,ko,false,true,true
2026-w12-newsletter-digest,이번 주 편의점 업계 핵심 정리,weekly,2026-03-17,ko,false,true,false
2026-w12-weekly-polarization,3월 3주차 편의점 운영 포인트,weekly,2026-03-16,ko,false,true,false
collaboration-playbook,본사·배달앱·지역 협업 전략,guide,2026-03-16,ko,true,false,false
cost-optimization,원가 관리 완전 가이드: 폐기율 절반으로,guide,2026-03-16,ko,true,false,false
cross-market-2026-03-16,일본 편의점에서 배우는 매출 극대화 전략: 2026년 최신 트렌드 리포트,insight,2026-03-16,ko,false,true,true
daily-margin-analysis,일일 매출-마진 성과 분석 및 프로모션 최적화,guide,2026-03-16,ko,true,false,false
display-masterclass,진열의 정석: 매출을 바꾸는 골든존 전략,guide,2026-03-16,ko,true,false,false
economics-2026-03-16,거시 경제가 내 매장에 미치는 영향,insight,2026-03-16,ko,false,true,true
expiry-discount-sales,유통기한 임박 상품 할인 판매,guide,2026-03-16,ko,true,false,false
lunch-peak-expiry,점심 피크 전 도시락/삼각김밥 유통기한 관리,guide,2026-03-16,ko,true,false,false
ordering-science,데이터 기반 발주의 과학,guide,2026-03-16,ko,true,false,false
pb-cross-selling,PB 상품 활용을 통한 구매 전환율 극대화,guide,2026-03-16,ko,true,false,false
peak-time-display-checklist,피크 타임 매대 점검 및 운영 표준화,guide,2026-03-16,ko,true,false,false
product-trend-guide,신상품 트렌드 읽기: 무엇을 밀어야 하는가,guide,2026-03-16,ko,true,false,false
promo-effectiveness,1+1이 진짜 효과 있을까? 프로모션 분석,guide,2026-03-16,ko,true,false,false
sentiment-2026-03-16,"편의점 매출의 열쇠, 소비자 감성을 읽어야 살아남는다",insight,2026-03-16,ko,false,true,true
spring-picnic-check,나들이 인파를 부르는 매장 큐레이션,guide,2026-03-16,ko,true,false,false
staff-expiry-management,스태프별 유통기한 관리 구역 지정,guide,2026-03-16,ko,true,false,false
timing-strategy,시간대별 매출 극대화 루틴,guide,2026-03-16,ko,true,false,false
weather-operations,날씨 예보가 발주를 결정한다,guide,2026-03-16,ko,true,false,false
summer-peak-operation,한여름 폭염 편의점 생존 가이드,guide,2026-03-15,ko,true,false,false
multi-store-management,다점포 운영 노하우: 2호점 오픈 전 체크리스트,guide,2026-03-14,ko,true,false,false
seasonal-waste-pattern,시즌별 폐기 패턴: 어떤 계절에 뭐가 남을까,insight,2026-03-12,ko,false,true,true
cleaning-schedule-template,매장 청소 스케줄 템플릿: 30분 루틴으로 깔끔한 매장,guide,2026-03-11,ko,true,false,false
2026-w11-weekly-selection,3월 2주차 편의점 운영 포인트,weekly,2026-03-10,ko,false,true,false
cafe-drive-thru-efficiency,"카페 드라이브스루, AI로 처리 시간 50% 단축하는 법",insight,2026-03-10,ko,false,true,true
cafe-peak-hour-staffing,"카페 피크타임 인력 배치, 인건비 23%로 관리하는 전략",guide,2026-03-10,ko,true,false,false
cafe-seasonal-space-strategy,계절마다 달라지는 카페 공간 전략과 메뉴 트렌드,insight,2026-03-10,ko,false,true,true
cafe-seat-turnover-data,카페 좌석 회전율의 과학: 102분이 손익을 가른다,insight,2026-03-10,ko,false,true,true
convenience-hmr-display-strategy,편의점 도시락·간편식 진열 전략으로 매출 33% 올리는 법,guide,2026-03-10,ko,true,false,false
convenience-impulse-purchase-layout,편의점 충동구매율 40% 높이는 고객 동선 배치법,insight,2026-03-10,ko,false,true,true
convenience-night-shift-optimization,"편의점 심야 운영, 계속할까 줄일까? 데이터로 판단하는 법",guide,2026-03-10,ko,true,false,false
convenience-shelf-efficiency,편의점 매대 효율 분석: 1cm가 매출을 바꾼다,insight,2026-03-10,ko,false,true,true
convenience-summer-cold-chain,여름 편의점 냉장 관리 — 온도 1도가 폐기율 30%를 좌우한다,insight,2026-03-10,ko,false,true,true
drugstore-heatmap-hotspot,드럭스토어 히트맵 분석: 고객이 머무는 핫스팟의 비밀,insight,2026-03-10,ko,false,true,true
drugstore-high-margin-placement,"드럭스토어 고마진 상품, 어디에 진열해야 매출이 오를까?",guide,2026-03-10,ko,true,false,false
drugstore-promo-display-effectiveness,"드럭스토어 시즌 프로모션, 진열 위치가 판매량을 바꾼다",insight,2026-03-10,ko,false,true,true
drugstore-zone-merchandising,"드럭스토어 구역별 품목 배치, VMD의 과학",insight,2026-03-10,ko,false,true,true
esg-store-energy-optimization,"ESG 시대, 매장 에너지 비용을 75% 줄이는 스마트 관리 전략",insight,2026-03-10,ko,false,true,true
exam-season-strategy,시험 시즌 총정리: 중간·기말·수능,guide,2026-03-10,ko,true,false,false
exhibition-booth-traffic-analysis,"전시 부스별 유입 분석, 데이터로 ROI를 증명하는 법",insight,2026-03-10,ko,false,true,true
exhibition-crowd-management,"박람회 혼잡도 관리, AI로 안전과 만족도를 동시에 잡는 법",insight,2026-03-10,ko,false,true,true
exhibition-peak-season-prep,"봄·가을 전시 성수기, 데이터 기반 운영 전략 가이드",insight,2026-03-10,ko,false,true,true
festival-crowd-realtime-management,"축제·이벤트 실시간 인파 관리, 안전과 경험을 동시에 잡는 법",insight,2026-03-10,ko,false,true,true
franchise-standard-monitoring,"프랜차이즈 매장 표준화, 신호등시스템으로 관리하는 법",insight,2026-03-10,ko,false,true,true
logistics-automation-trends-2025,"2025-2026 물류 자동화 트렌드: AI 비전, 로봇 피킹, 디지털 트윈",insight,2026-03-10,ko,false,true,true
logistics-cold-chain-monitoring,"물류창고 콜드체인, 온도 1도가 수억 원을 좌우한다",insight,2026-03-10,ko,false,true,true
logistics-picking-efficiency,물류센터 피킹 효율 높이는 동선 최적화 가이드,guide,2026-03-10,ko,true,false,false
logistics-safety-zone-setup,물류센터 안전구역 설정과 CCTV 모니터링 가이드,guide,2026-03-10,ko,true,false,false
logistics-shift-automation,물류센터 교대 자동화: AI 기반 인력 배치 최적화,guide,2026-03-10,ko,true,false,false
logistics-worker-flow-analysis,물류센터 작업자 동선 분석으로 생산성 높이기,insight,2026-03-10,ko,false,true,true
logistics-year-end-volume,연말 물량 폭증 대비 물류센터 운영 전략,insight,2026-03-10,ko,false,true,true
mart-checkout-congestion-prediction,"대형마트 계산대 혼잡도, 예측하면 대기시간이 27% 줄어든다",insight,2026-03-10,ko,false,true,true
mart-fresh-food-monitoring,마트 신선식품 폐기율 80% 줄이는 IoT 모니터링 실전 가이드,guide,2026-03-10,ko,true,false,false
mart-zone-conversion-data,"마트 구역별 전환율 분석, 동선 데이터가 매출을 살린다",insight,2026-03-10,ko,false,true,true
museum-visitor-flow-analysis,박물관·미술관 관람 동선 분석으로 체류시간 50% 늘리기,insight,2026-03-10,ko,false,true,true
omnichannel-offline-store-role,"옴니채널 시대, 오프라인 매장은 왜 더 중요해졌나",insight,2026-03-10,ko,false,true,true
privacy-safe-ai-analytics,개인정보 걱정 없는 AI 매장 분석 — 비식별화 기술과 프라이버시 보호 전략,insight,2026-03-10,ko,false,true,true
public-safety-anomaly-detection,"공공시설 이상행동 감지, AI가 30초 만에 사고를 막는 법",insight,2026-03-10,ko,false,true,true
restaurant-kitchen-flow,"음식점 주방-홀 동선 최적화, 배식 시간 35% 단축하는 법",insight,2026-03-10,ko,false,true,true
restaurant-table-turnover,"테이블 회전율 최적화, 대기시간과 체류시간의 균형 찾기",insight,2026-03-10,ko,false,true,true
retail-tech-trends-2025,2025 리테일 테크 트렌드 총정리: AI·IoT·로봇이 바꾸는 매장의 미래,insight,2026-03-10,ko,false,true,true
senior-friendly-store-design,시니어 고객 맞춤 매장 설계 — 보편적 디자인으로 모든 세대를 잡는 법,insight,2026-03-10,ko,false,true,true
small-store-data-democratization,소상공인도 데이터로 경쟁하는 시대 — 소규모 매장의 데이터 민주화,insight,2026-03-10,ko,false,true,true
store-shrinkage-prevention,매장 손실(Shrinkage) $132B 시대 — 유형별 방지 전략 총정리,insight,2026-03-10,ko,false,true,true
storeagent-automation-future,매장 자동화의 미래 — AI 에이전트가 대신하는 매장 운영,insight,2026-03-10,ko,false,true,true
storecare-vision-ai-beyond-cctv,CCTV를 넘어선 비전 AI: 매장 카메라가 경영 도구가 되는 시대,insight,2026-03-10,ko,false,true,true
storeinsight-data-driven-cases,"데이터 기반 매장 운영, 실제로 어떻게 달라질까",insight,2026-03-10,ko,false,true,true
unmanned-auto-inventory,무인매장 자동 재고 관리: CCTV 기반 결품 감지와 발주 자동화,guide,2026-03-10,ko,true,false,false
unmanned-cctv-setup-guide,무인매장 CCTV 설치 가이드: 사각지대 없는 카메라 배치법,guide,2026-03-10,ko,true,false,false
unmanned-customer-behavior,무인매장 고객 행동 패턴 분석: 비대면 환경의 쇼핑 데이터,insight,2026-03-10,ko,false,true,true
unmanned-hygiene-monitoring,무인매장 위생 모니터링: AI가 관리하는 청결 기준,guide,2026-03-10,ko,true,false,false
unmanned-night-theft-prevention,무인매장 도난의 82%는 야간에 발생한다,insight,2026-03-10,ko,false,true,true
unmanned-roi-cost-analysis,무인매장 ROI 분석: 투자 비용 대비 수익성 데이터,insight,2026-03-10,ko,false,true,true
unmanned-theft-pattern-analysis,무인매장 도난 패턴 분석: AI 기반 이상행동 감지 전략,insight,2026-03-10,ko,false,true,true
2026-w11-weekly,3월 2주차: 화이트데이 최종 점검,weekly,2026-03-09,ko,false,true,false
beverage-sales-deep-dive,음료 카테고리 심층 분석: 커피 vs 탄산 vs 주스,insight,2026-03-08,ko,false,true,true
nighttime-safety-revenue,심야 매장 안전과 매출의 상관관계,insight,2026-03-07,ko,false,true,true
seasonal-menu-planning,시즌 메뉴 기획: 즉석조리 코너 매출 올리기,guide,2026-03-06,ko,true,false,false
childrens-day-prep,어린이날 편의점 완벽 준비 가이드,guide,2026-03-05,ko,true,false,false
white-day-guide,화이트데이 D-14 준비 가이드,guide,2026-03-04,ko,true,false,false
cctv-loss-prevention,CCTV 활용 도난 방지: 손실률 줄이는 방법,guide,2026-03-03,ko,true,false,false
graduation-season-sales,졸업 시즌 매출 가이드: 꽃다발부터 축하 간식까지,guide,2026-03-03,ko,true,false,false
2026-w10-weekly,3월 1주차: 화이트데이 D-14 카운트다운,weekly,2026-03-02,ko,false,true,false
impulse-buying-data,충동구매의 심리학: 편의점 데이터 분석,insight,2026-03-01,ko,false,true,true
cherry-blossom-guide,벚꽃 시즌 편의점 매출 공략법,guide,2026-02-28,ko,true,false,false
customer-loyalty-strategy,"걸어서 5분, 단골 고객을 만드는 보이지 않는 디테일",guide,2026-02-28,ko,true,false,false
late-night-customer-profile,"심야 고객 프로파일: 누가, 언제, 무엇을 살까",insight,2026-02-28,ko,false,true,true
pos-area-marketing,계산대 앞 1분이 결정하는 추가 매출 10%,guide,2026-02-28,ko,true,false,false
shift-handover-checklist,교대 시 인수인계 체크리스트: 빠뜨리면 매출이 줄어요,guide,2026-02-27,ko,true,false,false
cold-snap-sales-boost,한파 특수: 추운 날 폭발하는 상품 TOP 5,insight,2026-02-26,ko,false,true,true
delivery-platform-tips,배달 플랫폼 입점: 편의점 배달 매출 올리기,guide,2026-02-26,ko,true,false,false
night-shift-efficiency,"야간 근무 효율, 200% 올리는 노하우",guide,2026-02-26,ko,true,false,false
blooming-season-strategy,"벚꽃 연금, 우리 매장으로 끌어오는 법",guide,2026-02-25,ko,true,false,false
prime-time,편의점 황금 시간대 집중 공략법,insight,2026-02-25,ko,false,true,true
sports-event-guide,스포츠 경기일 편의점 운영 전략,guide,2026-02-25,ko,true,false,false
2026-w09-weekly-inflation,2월 4주차 편의점 운영 포인트,weekly,2026-02-24,ko,false,true,false
weather-order,"주말 비 소식, 폐기율을 줄이는 발주 시나리오",guide,2026-02-24,ko,true,false,false
2026-w09-weekly-v2,2월 4주차 봄맞이 상권 변화 대응법,weekly,2026-02-23,ko,false,true,false
2026-w09-weekly,2월 4주차: 봄 시즌 전환 시작,weekly,2026-02-23,ko,false,true,false
staff-routing,알바생 피크타임 동선 가이드,guide,2026-02-23,ko,true,false,false
early-summer-prep,미리 준비하는 여름 특수: 얼음과 맥주,guide,2026-02-22,ko,true,false,false
franchise-negotiation,본사 협상 노하우: 점주가 알아야 할 5가지,guide,2026-02-22,ko,true,false,false
inventory-tips,발주 실수 0에 도전하는 재고관리,insight,2026-02-22,ko,false,true,true
payment-method-trends,결제 수단별 매출 분석: 현금 vs 카드 vs 간편결제,insight,2026-02-22,ko,false,true,true
new-items,이번 주 눈길을 끄는 신상 리스트,weekly,2026-02-21,ko,false,true,false
coffee-weather-correlation,온도 1도가 바꾸는 커피 매출의 디테일,insight,2026-02-20,ko,false,true,true
part-timer-management,아르바이트 관리 노하우: 이직률 낮추는 5가지 방법,guide,2026-02-20,ko,true,false,false
weekend-vs-weekday,주말 vs 평일: 매출 구조가 완전히 다른 이유,insight,2026-02-18,ko,false,true,true
zero-waste-strategy,폐기 상품 0원에 도전하는 재고 최적화,guide,2026-02-18,ko,true,false,false
2026-w08-weekly,2월 3주차 편의점 운영 포인트,weekly,2026-02-16,ko,false,true,false
basket-size-analysis,장바구니 분석: 함께 사는 상품 조합 TOP 10,insight,2026-02-15,ko,false,true,true
staff-management-pro,이직률을 낮추는 매장 알바 관리법,guide,2026-02-15,ko,true,false,false
store-cleanliness-sales,매장 청결도가 매출에 미치는 영향,guide,2026-02-15,ko,true,false,false
summer-prep-guide,여름 시즌 준비: 5월부터 시작하는 냉장 발주 전략,guide,2026-02-14,ko,true,false,false
back-to-school-guide,개학 시즌 공략: 학교 주변 편의점 필수 발주 가이드,guide,2026-02-12,ko,true,false,false
future-payment-trends,"현금 없는 매장, 결제 데이터가 알려주는 미래",insight,2026-02-12,ko,false,true,true
hygiene-management-standard,"청결이 곧 매출, 매장 위생 점검 가이드",guide,2026-02-10,ko,true,false,false
spring-prep-checklist,봄 시즌 준비: 3월 발주 체크리스트,guide,2026-02-10,ko,true,false,false
2026-w07-weekly,2월 2주차 편의점 운영 포인트,weekly,2026-02-09,ko,false,true,false
customer-complaint-handling,고객 불만 대응법: 단골을 만드는 5가지 원칙,guide,2026-02-08,ko,true,false,false
midnight-snack-analysis,"밤 11시, 야식러들의 장바구니 패턴",insight,2026-02-08,ko,false,true,true
event-sales-impact,주변 행사가 매출에 미치는 영향: 반경 1km의 법칙,insight,2026-02-07,ko,false,true,true
lunch-rush-analysis,점심시간 골든타임: 11시~13시 매출 극대화 전략,insight,2026-02-05,ko,false,true,true
shop-safety-manual,"위급 상황, 1초 만에 대처하는 매장 안전 매뉴얼",guide,2026-02-05,ko,true,false,false
regional-sales-dna,상권 DNA가 다르다: 강남 vs 홍대 vs 잠실,insight,2026-02-04,ko,false,true,true
rainy-day-sales-secret,비 오는 날 매출 +23%의 비밀,insight,2026-02-03,ko,false,true,true
2026-w06-weekly,2월 1주차 편의점 운영 포인트,weekly,2026-02-02,ko,false,true,false
demographic-buying-habits,"MZ부터 시니어까지, 세대별 편의점 이용 지도",insight,2026-02-02,ko,false,true,true
inventory-rotation-master,선입선출의 정석: 유통기한 사고를 줄이는 법,guide,2026-02-01,ko,true,false,false
new-product-sales-impact,신상품 도입 효과: 첫 2주 매출 기여도 데이터,insight,2026-01-30,ko,false,true,true
valentines-day-guide,밸런타인데이 완벽 가이드: D-14부터,guide,2026-01-30,ko,true,false,false
inventory-management-basics,적정 재고의 기술: 과잉·결품 없는 발주법,guide,2026-01-28,ko,true,false,false
weekday-sales-pattern,요일별 매출 패턴: 화요일이 도시락 골든타임,insight,2026-01-27,ko,false,true,true
2026-w05-weekly,1월 5주차: 설 연휴 직전 발주 체크리스트,weekly,2026-01-26,ko,false,true,false
autumn-ready-guide,가을 시즌 전환: 9월 발주 체크리스트,guide,2026-01-25,ko,true,false,false
rainy-day-operation,비 오는 날 운영 매뉴얼: 매장 관리 총정리,guide,2026-01-25,ko,true,false,false
temperature-sales-correlation,기온 1도 변화가 매출에 미치는 영향,insight,2026-01-22,ko,false,true,true
foot-traffic-pattern,유동인구와 매출의 상관관계: 시간대별 분석,insight,2026-01-20,ko,false,true,true
opening-first-month,편의점 오픈 첫 달: 신규 점주 생존 가이드,guide,2026-01-20,ko,true,false,false
winter-sales-strategy,겨울 매출 올리는 5가지 발주 전략,guide,2026-01-20,ko,true,false,false
2026-w04-weekly,1월 4주차: 기말고사 시즌 학교 앞 편의점 전략,weekly,2026-01-19,ko,false,true,false
night-shift-optimization,야간 매출 극대화: 심야 시간대 운영 노하우,guide,2026-01-18,ko,true,false,false
chuseok-prep-guide,추석 연휴 편의점 운영 완전 가이드,guide,2026-01-15,ko,true,false,false
pos-data-waste-reduction,POS 데이터로 폐기율 절반 줄인 방법,guide,2026-01-15,ko,true,false,false
2026-w03-weekly,1월 3주차: 신년 건강 트렌드와 편의점 발주,weekly,2026-01-12,ko,false,true,false
holiday-guide-2026,2026년 상반기 공휴일·시즌 캘린더,guide,2026-01-12,ko,true,false,false
promo-strategy-basics,"편의점 프로모션 전략: 1+1, 2+1 효과 극대화",guide,2026-01-10,ko,true,false,false
age-group-purchase-pattern,연령대별 구매 패턴: 10대 vs 30대 vs 50대,insight,2026-01-08,ko,false,true,true
store-display-basics,편의점 진열의 기본: 동선과 눈높이,guide,2026-01-08,ko,true,false,false
energy-cost-reduction,편의점 전기료 절감: 월 15만원 아끼는 방법,guide,2026-01-06,ko,true,false,false
2026-w02-weekly,1월 2주차: 겨울 한파 절정기 발주 전략,weekly,2026-01-05,ko,false,true,false
rainy-season-guide,장마 시즌 완벽 대비: 6~7월 발주 가이드,guide,2026-01-05,ko,true,false,false
location-type-analysis,상권별 매출 특성: 오피스 vs 주거 vs 학교,insight,2026-01-03,ko,false,true,true
year-end-party-guide,연말 시즌 공략: 11~12월 매출 극대화 전략,guide,2026-01-02,ko,true,false,false
new-year-resolution-sales,새해 목표 시즌: 1월 매출 트렌드,guide,2026-01-01,ko,true,false,false
waste-reduction-daily-habit,폐기 줄이는 하루 3번 점검 습관,guide,2025-11-03,ko,true,false,false
seasonal-transition-checklist,시즌 전환 체크리스트,guide,2025-10-27,ko,true,false,false
emergency-response-manual,비상 상황 30분 내 해결 매뉴얼,guide,2025-09-15,ko,true,false,false
peak-time-staffing-guide,피크타임 인력 배치: 입지별 최적 공식,guide,2025-08-04,ko,true,false,false
golden-zone-setup-guide,골든존 세팅 실전 가이드,guide,2025-06-10,ko,true,false,false
fifo-daily-routine,FIFO 하루 루틴: 폐기 없는 진열 관리,guide,2025-05-20,ko,true,false,false
weather-ordering-quick-guide,날씨 보고 발주하는 법: 5단계 가이드,guide,2025-04-01,ko,true,false,false
safety-stock-calculation-method,안전재고 계산법: ABC 등급별 기준,guide,2025-02-17,ko,true,false,false
plus-insight-dashboard-zone-interest-analysis-ko,[PLUS INSIGHT-Dashboard] 구역 관심도 분석,insight,2024-11-11,ko,false,true,true
plus-insight-dashboard-zone-interest-analysis,[PLUS INSIGHT-Dashboard] Zone Interest Analysis,insight,2024-11-11,en,false,true,true
adapting-to-ai-company-work-as-a-new-employee-ko,신입사원으로서 AI 회사에서 일하는 방식,insight,2024-10-14,ko,false,true,true
adapting-to-ai-company-work-as-a-new-employee,Adapting to AI Company Work as a New Employee,insight,2024-10-14,en,false,true,true
how-ai-discovers-my-preferences-the-rise-of-intelligent-retail-systems-ko,AI는 어떻게 내 취향을 알아낼까…똑똑해지는 매장 시스템,insight,2024-09-10,ko,false,true,true
how-ai-discovers-my-preferences-the-rise-of-intelligent-retail-systems,How AI Discovers My Preferences: The Rise of Intelligent Retail Systems,insight,2024-09-10,en,false,true,true
how-we-measure-the-experience-of-a-visiting-customer-in-a-store-visit-pass-stay-analysis-ko,매장에서 방문 고객의 경험을 어떻게 측정할 것인가? (Visit-Pass-Stay 분석),insight,2024-08-16,ko,false,true,true
how-we-measure-the-experience-of-a-visiting-customer-in-a-store-visit-pass-stay-analysis,How we measure the experience of a visiting customer in a store? (Visit-Pass-Stay Analysis),insight,2024-08-16,en,false,true,true
seal-a-solution-for-compliance-with-the-eu-ai-act-and-gdpr-ko,SEAL: 유럽 AI 법안과 GDPR 준수를 위한 솔루션,insight,2024-07-19,ko,false,true,true
seal-a-solution-for-compliance-with-the-eu-ai-act-and-gdpr,SEAL: A Solution for Compliance with the EU AI Act and GDPR,insight,2024-07-19,en,false,true,true
all-products-are-experience-goods-ko,"온라인 쇼핑 시대, PLUS INSIGHT를 통한 차별화된 오프라인 매장 경험",insight,2024-06-27,ko,false,true,true
all-products-are-experience-goods,All products are experience goods,insight,2024-06-27,en,false,true,true
2024-nextrise-awards-deepingsource-2-ko,"딥핑소스, 넥스트라이즈 '탑 이노베이터상' 수상 매장 최적화 솔루션, '스마트테크코리아 2024'서 소개",insight,2024-06-19,ko,false,true,true
2024-nextrise-awards-deepingsource-ko,"AI리테일테크 기업 딥핑소스, 넥스트라이즈 2024에서 '탑 이노베이터상' 수상!",insight,2024-06-12,ko,false,true,true
introducing-store-care-ai-revolutionizing-store-management-with-artificial-intelligence-ko,매장케어링 AI 소개: 인공지능 기반 매장 관리 혁신,insight,2024-05-28,ko,false,true,true
introducing-store-care-ai-revolutionizing-store-management-with-artificial-intelligence,Introducing Store Care AI: Revolutionizing Store Management with Artificial Intelligence,insight,2024-05-28,en,false,true,true
deeping-source-story-about-deeping-source-not-dipping-source-ko,디핑소스가 아닌 딥핑소스 이야기,insight,2024-05-27,ko,false,true,true
deeping-source-pioneering-privacy-centric-retail-optimization-in-the-age-of-ai-ko,딥핑소스: AI 시대의 선구적인 개인 정보 보호 중심 소매 최적화,insight,2024-05-13,ko,false,true,true
deeping-source-pioneering-privacy-centric-retail-optimization-in-the-age-of-ai,Deeping Source: Pioneering Privacy-Centric Retail Optimization in the Age of AI,insight,2024-05-13,en,false,true,true
vision-ai-the-secret-ingredient-to-recapturing-missed-sales-opportunities-in-hypermarkets-ko,Vision AI: 대형 마트에서 놓친 판매 기회 포착하기,insight,2024-05-03,ko,false,true,true
vision-ai-the-secret-ingredient-to-recapturing-missed-sales-opportunities-in-hypermarkets,Vision AI: The Secret Ingredient to Recapturing Missed Sales Opportunities in Hypermarkets,insight,2024-05-03,en,false,true,true
deeping-sources-commitment-to-safe-ai-achieving-soc2-type-2-certification-ko,"안전한 AI를 위한 딥핑소스의 약속, SOC2 Type 2 인증 취득",insight,2024-04-09,ko,false,true,true
deeping-sources-commitment-to-safe-ai-achieving-soc2-type-2-certification,Deeping Source’s Commitment to Safe AI:  Achieving SOC2 Type 2 Certification,insight,2024-04-09,en,false,true,true
the-key-to-pleasant-brick-and-mortar-experiences-ko,쾌적한 오프라인 경험의 핵심 요소,insight,2024-03-22,ko,false,true,true
the-key-to-pleasant-brick-and-mortar-experiences,The Key to Pleasant Brick-and-Mortar Experiences,insight,2024-03-22,en,false,true,true
knowledge-assembly,Knowledge Assembly,insight,2024-03-20,en,false,true,true
privacy-in-machine-learning-applications-how-deeping-source-tackles-privacy-while-preserving-utility,Privacy in Machine Learning Applications: How Deeping Source Tackles Privacy While Preserving Utility,insight,2024-03-20,en,false,true,true
diving-deeper-how-heatmaps-dwell-time-and-attention-maps-revolutionize-retail-insights-ko,"심층 분석: 히트맵, 체류시간, 관심도 측정 맵이 리테일 인사이트를 혁신하는 방법",insight,2024-02-07,ko,false,true,true
diving-deeper-how-heatmaps-dwell-time-and-attention-maps-revolutionize-retail-insights,"Diving Deeper: How Heatmaps, Dwell-Time, and Attention Maps Revolutionize Retail Insights",insight,2024-02-07,en,false,true,true
innovative-anonymization-how-deeping-source-enhances-ml-model-performance-2-ko,혁신적인 익명화: 딥핑소스가 ML 모델 성능을 향상시키는 방법,insight,2024-01-19,ko,false,true,true
